TimeWindow, Flight, RiskCategory, O57, O58, O59, O60, O61, O62, O63, O64
240, Flight49, UNKNOWN, 0.9999999999997363, 6.974117395851341E-13, 6.973917589920117E-13, 3.8547911616607526E-13, 1.9834933335688213E-13, 3.854784129395259E-13, 1.983491465041032E-13, 1.983424141514669E-13
240, Flight49, LOWRISK1, 0.9999999999957866, 1.597039260546636E-12, 1.5969032668715682E-12, 9.80762674930446E-13, 5.41909347786957E-13, 9.807643573692625E-13, 5.419096605558529E-13, 5.41892617843089E-13
240, Flight49, LOWRISK2, 0.9999999999924692, 2.3647052180845443E-12, 2.3645061013292806E-12, 1.4674156817853607E-12, 8.169272481006115E-13, 1.4674197422110328E-12, 8.169282027919073E-13, 8.169019462759898E-13
240, Flight49, LOWRISK3, 0.9999999999700865, 7.53944421480709E-12, 7.538783188260692E-12, 4.731726414634964E-12, 2.656128966184237E-12, 4.731776998400293E-12, 2.6561446642911072E-12, 2.6560450527869994E-12
240, Flight49, LOWRISK4, 0.9999999997766772, 5.2255543903971254E-11, 5.2251126164585514E-11, 3.29144141988686E-11, 1.8527771776750802E-11, 3.291741044649879E-11, 1.852873985150526E-11, 1.8527196546862496E-11
240, Flight50, SELECTEE, 3.5043023535016256E-12, 4.448255982005857E-10, 4.444509886589684E-10, 0.38911322804504606, 0.2220606813701185, 0.1108867713698242, 0.09813002148147221, 0.17980929684324837
240, Flight50, UNKNOWN, 0.999999999998121, 1.0472964777150782E-12, 1.0471923299121822E-12, 6.270072786429036E-13, 3.402426886924526E-13, 6.270061895337915E-13, 3.4024232008438576E-13, 3.402314196799956E-13
240, Flight50, LOWRISK1, 0.9999999999967473, 1.360527066774754E-12, 1.3604059230969722E-12, 8.284727332730008E-13, 4.549997999975989E-13, 8.284722522051431E-13, 4.549995168058552E-13, 4.549854526130953E-13
240, Flight50, LOWRISK2, 0.9999999999752478, 8.094018630178668E-12, 8.090803598091198E-12, 3.3175053482391936E-12, 1.4742442360339274E-12, 3.3174452875986957E-12, 1.4742363481163192E-12, 1.4741618224402273E-12
240, Flight50, LOWRISK3, 0.9999999999657168, 8.80645252780453E-12, 8.805571914986089E-12, 5.280243596380119E-12, 2.8670128581551704E-12, 5.28024871345207E-12, 2.867014133741398E-12, 2.866916109074268E-12
240, Flight50, LOWRISK4, 0.999999999969962, 7.54512933140636E-12, 7.544470235210858E-12, 4.734000461661609E-12, 2.656855345842215E-12, 4.734031153511052E-12, 2.6568646677701833E-12, 2.65677144254529E-12
240, Flight51, SELECTEE, 1.395649829192276E-11, 1.8008629646936075E-9, 1.8079765053083223E-9, 0.2844448804816864, 0.2952679919151917, 0.0726979717967198, 0.07694223659799548, 0.2706469155881007
240, Flight51, UNKNOWN, 1.0000000000000364, 6.44515510347261E-13, 6.445872150720188E-13, 3.3421331382457035E-13, 1.654281923074797E-13, 3.3421195264516104E-13, 1.6542800084217287E-13, 1.6542222548042645E-13
240, Flight51, LOWRISK1, 0.8563720787518715, 0.09442272571042885, 0.049205195531703196, 2.8694469814697588E-12, 9.159746587140847E-13, 2.869426512438373E-12, 9.159721794383705E-13, 9.159162433746465E-13
240, Flight51, LOWRISK2, 0.7857142856953994, 0.13501642341629183, 0.07926929087382346, 5.739748746730732E-12, 1.8320766264485638E-12, 5.739707537067996E-12, 1.8320713882554763E-12, 1.831958595712045E-12
240, Flight51, LOWRISK3, 0.7857142857217755, 0.14020433363474058, 0.07408138060637995, 1.3386274280307188E-11, 4.273968582774742E-12, 1.3386218151428694E-11, 4.273959609379865E-12, 4.273699797416618E-12
240, Flight51, LOWRISK4, 0.9999999997764782, 5.228124996818208E-11, 5.2276691528337527E-11, 3.2927206166533144E-11, 1.8532657738034655E-11, 3.292890466436527E-11, 1.8533203547384153E-11, 1.8532069426678076E-11
240, Flight52, SELECTEE, 3.5027210061227723E-12, 4.4264800833428716E-10, 4.4264914006638973E-10, 0.2849669429396828, 0.32071656193017145, 0.07217591351325521, 0.08160282538238903, 0.2405377553481918
240, Flight52, UNKNOWN, 0.9999999999982486, 1.0184756483379149E-12, 1.0183740134044292E-12, 6.081752237590069E-13, 3.2942846342364233E-13, 6.081740315339264E-13, 3.294280627279757E-13, 3.294175272584983E-13
240, Flight52, LOWRISK1, 0.8563720787518893, 0.09410614404961817, 0.04952177719228914, 2.9394075312685206E-12, 9.383120091389204E-13, 2.9393867354331412E-12, 9.383094841450035E-13, 9.382521933466717E-13
240, Flight52, LOWRISK2, 0.7857142856965057, 0.12418789921662088, 0.09009781505966262, 1.0041977345375265E-11, 3.2057847514428756E-12, 1.0041923403369456E-11, 3.2057769477496228E-12, 3.2055812318220837E-12
240, Flight52, LOWRISK3, 0.7857142857286216, 0.11298247738034954, 0.10130323677489715, 4.009266567202132E-11, 1.2812424480901776E-11, 4.009271630842257E-11, 1.2812425437505383E-11, 1.2811688046464794E-11
240, Flight52, LOWRISK4, 0.99999999997399, 6.614013388674813E-12, 6.6134344957258784E-12, 4.1469961018911725E-12, 2.3262454508044585E-12, 4.147014134853738E-12, 2.326250775301175E-12, 2.3261719136784317E-12
240, Flight53, SELECTEE, 6.989508650123521E-12, 9.061108967197366E-10, 9.090180637334193E-10, 0.20167219528580568, 0.37839503742060415, 0.048327802516697514, 0.05803190837785642, 0.3135730545794079
240, Flight53, UNKNOWN, 0.9999999999958162, 2.349284193170681E-12, 2.347920937021319E-12, 6.235405651221357E-13, 2.431669912840821E-13, 6.235168697077214E-13, 2.4316464099390963E-13, 2.4314990985517277E-13
240, Flight53, LOWRISK1, 0.68682556890842, 0.2201552224775197, 0.09301920860283808, 4.63650125385044E-12, 1.4798298568179505E-12, 4.6364574237657956E-12, 1.4798247009971502E-12, 1.479733721047058E-12
240, Flight53, LOWRISK2, 0.6249999999835777, 0.27546585530265105, 0.09953414470005538, 5.4797281603401945E-12, 1.7489237809266155E-12, 5.479660788546453E-12, 1.7489160988330072E-12, 1.7488095196861316E-12
240, Flight53, LOWRISK3, 0.6250000000074025, 0.23122673239744654, 0.14377326755308525, 1.506468595401943E-11, 4.808946656141633E-12, 1.506444823905561E-11, 4.808918840630005E-12, 4.808638515385398E-12
240, Flight53, LOWRISK4, 0.999999999973989, 6.614282473200491E-12, 6.613699720334655E-12, 4.147124453557173E-12, 2.326296935879861E-12, 4.147137412809596E-12, 2.326300674197118E-12, 2.326223147571373E-12
240, Flight54, SELECTEE, 2.3339437996478733E-12, 2.9789597795206185E-10, 2.98275143843234E-10, 0.13487696411339453, 0.4949078567710339, 0.031789702159311616, 0.041372893877216335, 0.2970525824830286
240, Flight54, UNKNOWN, 0.833333333329816, 0.14150444008516613, 0.02516222658472232, 9.418977823681793E-13, 3.006047219500615E-13, 9.418891606889923E-13, 3.0060373747205094E-13, 3.0058501808064406E-13
240, Flight54, LOWRISK1, 0.5549560612518256, 0.35118357348823614, 0.09386036525128631, 3.767534108152046E-12, 1.2024134741116378E-12, 3.767486347289953E-12, 1.202408124222996E-12, 1.202334782602057E-12
240, Flight54, LOWRISK2, 0.49999999998695704, 0.3300382532913727, 0.16996174669174957, 1.0958974655864626E-11, 3.4977978525670842E-12, 1.0958703453109837E-11, 3.4977679088568473E-12, 3.497570522707946E-12
240, Flight54, LOWRISK3, 0.500000000010873, 0.280889187312757, 0.219110812589761, 3.01245782606418E-11, 9.617345247362432E-12, 3.0123147338567535E-11, 9.617185892004125E-12, 9.616737435585535E-12
240, Flight54, LOWRISK4, 0.9999999998892907, 2.6200656571655052E-11, 2.6198150207576188E-11, 1.6488497880612927E-11, 9.274552634096442E-12, 1.6488742571966924E-11, 9.274629663558892E-12, 9.274244753972348E-12
240, Flight55, SELECTEE, 4.053281697775562E-10, 0.5416814027030303, 0.4583185967068247, 6.580879597736802E-11, 2.0065839098149798E-11, 6.169459362583929E-11, 1.967275651075524E-11, 2.006492795614033E-11
240, Flight55, UNKNOWN, 0.999999999999298, 7.86203183100142E-13, 7.861113619667879E-13, 4.52028303693128E-13, 2.386004818057919E-13, 4.520276308862842E-13, 2.3860022488811574E-13, 2.385922811365003E-13
240, Flight55, LOWRISK1, 0.999999999995691, 1.6028326763616323E-12, 1.602695045599324E-12, 9.829567182863766E-13, 5.425812083227646E-13, 9.829578086847072E-13, 5.425813434927684E-13, 5.425644035706562E-13
240, Flight55, LOWRISK2, 0.9999999999896427, 2.9969069163559414E-12, 2.9966499337540707E-12, 1.8655010178324774E-12, 1.040891307961369E-12, 1.8655052947470335E-12, 1.0408923190684554E-12, 1.0408587603928418E-12
240, Flight55, LOWRISK3, 0.9999999999269799, 1.7482406222018204E-11, 1.7480872265624813E-11, 1.0997408329825962E-11, 6.184044617567206E-12, 1.0997638649184978E-11, 6.184117519891657E-12, 6.183848926501446E-12
240, Flight55, LOWRISK4, 0.9999999999645911, 8.786720029917327E-12, 8.78595357180069E-12, 5.516684873836886E-12, 3.0976672240783815E-12, 5.516748309186814E-12, 3.0976869494733595E-12, 3.097569522779624E-12
240, Flight56, SELECTEE, 3.9244720863630296E-10, 0.6168617539809045, 0.3831382455685745, 2.0788541923159298E-11, 6.518641112934043E-12, 2.0271377000175687E-11, 6.4672150192977104E-12, 6.518210050714117E-12
240, Flight56, UNKNOWN, 0.9999999999979103, 1.0949721369255131E-12, 1.0948641371768386E-12, 6.580085483224271E-13, 3.5800241103651966E-13, 6.580078106036874E-13, 3.5800214824592794E-13, 3.5799060019640174E-13
240, Flight56, LOWRISK1, 0.999999999995691, 1.6028326763616323E-12, 1.602695045599324E-12, 9.829567182863766E-13, 5.425812083227646E-13, 9.829578086847072E-13, 5.425813434927684E-13, 5.425644035706562E-13
