RiskCategory, TimeWindow, Flight, attOnBody_coverage, attOnBody_payoff, attOnBody_utility, attInCarryOn_coverage, attInCarryOn_payoff, attInCarryOn_utility
LOWRISK1, 300, Flight31, 0.2500000025364728, 22499.999923905816, 4481.999984842038, 0.7500000006829651, 7499.999979511046, 1493.9999959186002
LOWRISK1, 300, Flight32, 0.4166666678613748, 52499.99989247626, 10457.99997858127, 0.7786429308067547, 19922.136227392075, 3968.489536496501
LOWRISK1, 300, Flight33, 0.2500000084241291, 14999.999831517416, 2987.999966438269, 0.7500000013727238, 4999.999972545524, 995.9999945310683
LOWRISK1, 300, Flight34, 0.34375000109205583, 52499.99991263554, 10457.999982596999, 0.7656731149286434, 18746.150805708527, 3734.2332404971385
LOWRISK1, 300, Flight35, 0.25000000348452733, 37499.99982577363, 7469.999965294107, 0.7500000007940671, 12499.999960296644, 2489.9999920910914
LOWRISK1, 300, Flight36, 0.2500000163749822, 44999.99901750107, 8963.999804286212, 0.7500000023064651, 14999.999861612092, 2987.9999724331287
LOWRISK1, 300, Flight37, 0.47500000135446063, 52499.99986455394, 10457.999973019143, 0.7894293980257036, 21057.060197429644, 4194.566391327985
LOWRISK1, 300, Flight39, 0.47500000336768716, 52499.99966323129, 10457.999932915673, 0.7888548974180906, 21114.510258190945, 4206.010443431636
LOWRISK1, 300, Flight40, 0.2500000056911915, 44999.99965852851, 8963.999931978879, 0.7500000010527096, 14999.999936837425, 2987.999987418015
LOWRISK1, 300, Flight42, 0.7494098795778562, 12529.50602110719, 2495.8775994045523, 0.8110773402233141, 9446.132988834293, 1881.6696913757912
LOWRISK1, 300, Flight43, 0.25000000842621845, 22499.99974721345, 4481.999949644919, 0.750000001373023, 7499.999958809309, 1493.9999917948142
LOWRISK1, 300, Flight45, 0.2500000084241291, 14999.999831517416, 2987.999966438269, 0.7500000013727238, 4999.999972545524, 995.9999945310683
LOWRISK1, 300, Flight46, 0.250000008431392, 37499.9995784304, 7469.999916023335, 0.7500000013737815, 12499.999931310924, 2489.999986317136
LOWRISK1, 300, Flight48, 0.2500000165174792, 37499.99917412604, 7469.999835485906, 0.7500000023220091, 12499.999883899543, 2489.999976872789
LOWRISK1, 300, Flight49, 0.7290064320163945, 2709.935679836055, 539.8191874233421, 0.8062865724827042, 1937.134275172958, 385.87714761445324
LOWRISK1, 300, Flight50, 0.25000000253981536, 44999.99984761108, 8963.999969644126, 0.7500000006833716, 14999.999958997705, 2987.999991832343
LOWRISK1, 300, Flight52, 0.2500000049154579, 52499.999655917956, 10457.999931458857, 0.7500000009589747, 17499.99993287177, 3485.999986628057
LOWRISK1, 300, Flight53, 0.3437500015043286, 52499.999879653704, 10457.999976027017, 0.7656273518346742, 18749.811853226063, 3734.9625211626317
LOWRISK1, 300, Flight54, 0.4166666680923022, 52499.99987169281, 10457.999974441207, 0.7785508687915771, 19930.421808758063, 3970.140024304606
LOWRISK1, 300, Flight55, 0.7395856532925473, 7812.43040122358, 1556.236135923737, 0.8086835095175393, 5739.494714473821, 1143.307347123185
LOWRISK1, 300, Flight56, 0.2500000034821775, 22499.99989553468, 4481.9999791905075, 0.7500000007937715, 7499.999976186855, 1493.9999952564215
LOWRISK1, 300, Flight58, 0.250000008428866, 29999.99966284536, 5975.999932838795, 0.7500000013734021, 9999.999945063917, 1991.9999890567321
LOWRISK1, 300, Flight59, 0.3437500021112665, 52499.99983109868, 10457.999966354855, 0.7655900596471168, 18752.795228230658, 3735.556809463547
LOWRISK1, 300, Flight61, 0.41666666730818697, 52499.99994226318, 10457.999988498825, 0.7800869789820988, 19792.17189161111, 3942.600640808933
LOWRISK1, 300, Flight62, 0.25000000253981536, 44999.99984761108, 8963.999969644126, 0.7500000006833716, 14999.999958997705, 2987.999991832343
LOWRISK1, 300, Flight63, 0.2500000020108739, 14999.999959782523, 2987.999991988678, 0.7500000006213712, 4999.999987572576, 995.9999975244572
LOWRISK1, 300, Flight64, 0.4166666672882914, 52499.99994405377, 10457.99998885551, 0.7803864333853519, 19765.220995318334, 3937.232022267412
LOWRISK1, 300, Flight65, 0.2500000012086625, 37499.99993956688, 7469.999987961722, 0.7500000005273262, 12499.99997363369, 2489.999994747831
LOWRISK1, 300, Flight66, 0.4166666673042323, 52499.99994261909, 10457.999988569722, 0.7801434931895003, 19787.085612944975, 3941.587454098639
LOWRISK1, 300, Flight67, 0.2500000006986862, 29999.999972052552, 5975.999994432868, 0.7500000004674013, 9999.999981303947, 1991.999996275746
LOWRISK1, 300, Flight68, 0.25000000155187957, 22499.999953443614, 4481.999990725968, 0.7500000005675737, 7499.99998297279, 1493.9999966081798
LOWRISK1, 300, Flight69, 0.25000000127797395, 44999.999923321564, 8963.999984725655, 0.7500000005354558, 14999.999967872653, 2987.9999936002323
LOWRISK1, 300, Flight70, 0.2500000011479436, 29999.99995408226, 5975.999990853186, 0.7500000005202028, 9999.999979191889, 1991.9999958550243
LOWRISK1, 300, Flight71, 0.25000000100293573, 14999.999979941285, 2987.9999960043037, 0.750000000503185, 4999.999989936299, 995.9999979953108
